epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.951396644115448,0.1630328744649887,0.01,0.9860714077949524,0.05898268148303032
1,0.9816234707832336,0.06400980800390244,0.01,0.9852678775787354,0.05447709932923317
2,0.984881579875946,0.05273469537496567,0.01,0.989464282989502,0.0343458354473114
3,0.9871165752410889,0.04544537514448166,0.01,0.9930357336997986,0.028384020552039146
4,0.988239049911499,0.04187694191932678,0.01,0.9933928847312927,0.02197854593396187
5,0.9891429543495178,0.0382465124130249,0.01,0.9944642782211304,0.023859258741140366
6,0.989987313747406,0.03581773489713669,0.01,0.9950000047683716,0.02013535425066948
7,0.9905733466148376,0.03376071900129318,0.01,0.9933035969734192,0.025502899661660194
8,0.9909806251525879,0.0336095429956913,0.01,0.9932143092155457,0.027847154065966606
9,0.9909706711769104,0.03265030309557915,0.01,0.9955357313156128,0.015137773007154465
10,0.9918249249458313,0.03142257779836655,0.01,0.994732141494751,0.01648341678082943
11,0.9920831918716431,0.02951606549322605,0.01,0.9957143068313599,0.014542005956172943
12,0.9918249249458313,0.03001006506383419,0.01,0.9952678680419922,0.02089720405638218
13,0.9919639825820923,0.029885904863476753,0.01,0.9956250190734863,0.018843229860067368
14,0.9924606680870056,0.027766283601522446,0.01,0.9942857027053833,0.023485520854592323
15,0.9945864081382751,0.0196632519364357,0.005,0.9967857003211975,0.012242100201547146
16,0.9950234293937683,0.01889882981777191,0.005,0.9971428513526917,0.012108479626476765
17,0.9951128363609314,0.017744921147823334,0.005,0.9975892901420593,0.009652982465922832
18,0.9952816963195801,0.017129402607679367,0.005,0.9974107146263123,0.010655129328370094
19,0.9954307079315186,0.015465958043932915,0.005,0.9970535635948181,0.014488441869616508
20,0.9952220916748047,0.0171478521078825,0.005,0.9963392615318298,0.017850570380687714
21,0.9963545203208923,0.013306781649589539,0.0025,0.9975000023841858,0.01182254683226347
22,0.9965332746505737,0.011533786542713642,0.0025,0.9972321391105652,0.03192183002829552
23,0.9967518448829651,0.011838169768452644,0.0025,0.9976785778999329,0.011798933148384094
24,0.9969803094863892,0.011790457181632519,0.00125,0.9979464411735535,0.00902964361011982
25,0.996940553188324,0.010875212028622627,0.00125,0.9979464411735535,0.009814763441681862
26,0.9970299601554871,0.011158344335854053,0.00125,0.9978571534156799,0.009118863381445408
27,0.9972286224365234,0.010282817296683788,0.00125,0.9978571534156799,0.009484238922595978
28,0.9971988201141357,0.009934507310390472,0.000625,0.9983035922050476,0.008518271148204803
29,0.9971789717674255,0.009722189046442509,0.000625,0.9982143044471741,0.012493092566728592
30,0.9973676800727844,0.009158667176961899,0.000625,0.998035728931427,0.008625849150121212
31,0.9971888661384583,0.009878343902528286,0.000625,0.9984821677207947,0.008936770260334015
32,0.9973478317260742,0.009194818325340748,0.0003125,0.9983035922050476,0.008896910585463047
33,0.9975266456604004,0.00867380853742361,0.0003125,0.998035728931427,0.008695616386830807
34,0.9976755976676941,0.008800019510090351,0.0003125,0.9982143044471741,0.00871904008090496
35,0.9975266456604004,0.008990283124148846,0.00015625,0.9982143044471741,0.008715204894542694
36,0.9972683787345886,0.009152466431260109,0.00015625,0.9981250166893005,0.008799325674772263
37,0.9975067377090454,0.009101863019168377,0.00015625,0.9981250166893005,0.008600397035479546
38,0.9974074363708496,0.008970086462795734,7.8125e-05,0.9981250166893005,0.008472992107272148
39,0.9975663423538208,0.008279498666524887,7.8125e-05,0.9981250166893005,0.008700486272573471
40,0.9976557493209839,0.007918411865830421,7.8125e-05,0.9983035922050476,0.008923456072807312
41,0.9975464940071106,0.00851837545633316,3.90625e-05,0.9982143044471741,0.00883016549050808
42,0.997745156288147,0.008243815042078495,3.90625e-05,0.9982143044471741,0.008663555607199669
43,0.99744713306427,0.008704891428351402,3.90625e-05,0.9981250166893005,0.00859666708856821
44,0.9975663423538208,0.008198716677725315,1.953125e-05,0.9983035922050476,0.008661794476211071
45,0.9973577260971069,0.008854718878865242,1.953125e-05,0.9983035922050476,0.008675193414092064
46,0.9973875284194946,0.009034418500959873,1.953125e-05,0.9983035922050476,0.008854220621287823
47,0.9975961446762085,0.008329370990395546,1e-05,0.9982143044471741,0.008474304340779781
48,0.9978147149085999,0.007697166409343481,1e-05,0.9982143044471741,0.008708402514457703
49,0.9974570870399475,0.008659031242132187,1e-05,0.9982143044471741,0.008719350211322308
